,inputs,outputs
49,"they might think i was running away from something.
",who 's your partner ?
50,"good morning. can i do something for you?
",can you beat us ? ?
51,"you can have the table yourself, if you would rather. i am only killing time.
","no , no , i am fine ."
52,"your liquor laws..
",and you have it got in the face .
53,"a fellow named brandon has a penthouse here. he is holding open house. i was up there. too noisy. bored.
",yeah ... and i am fine .
54,"you are not paying for this. it's quite enough that you let me sit at your table.
",what can i do ?
55,"neatly said...but to the wrong man. the trouble with pretty girls is that they cannot imagine anyone thinking of anything else but the fact they are pretty girls. i get tired of it.
","i have got to run , and do n't ?"
56,"dance?
",what ?
57,"i know it's a littler late for an apology.
",i did n't know what it was .
58,"you said it wasn't a tragedy.
",what do you want ?
59,"there isn't one.. that anyone would believe. i went for a walk after dinner, down to the ocean...alone... i came up and went to bed. i didn't sleep very well. then there was a thunderstorm. and it began to rain. i went across to close the french door. that is the first time i saw him out there.
",it 's not so nice .
60,"no. and i have never fired a gun in my life, aren't you supposed not to touch it?
",not much .
61,"they will know whether he killed himself.
",we can kill fairfax .
62,"go ahead...if you want to. it doesn't matter.
",what was that ?
63,"you tried to run away.
","i am sorry , you have been here . i have figured it would be a day in this world ."
64,"want a spike in it?
",i do n't know .
65,"there's one thing i may as well tell you. you will find it out anyhow. i tried to run awaywhen i found him out there on the balcony. there wasn't any plane.
",what ?
66,"bad?
",no .
67,"what time is it?
",i am taking a piss .
68,"cold?
",yeah .
69,"want to dance?
",sure . but you would be working with ms. kensington .
70,"that man over there. he was in the hotel lobby.
",so did he do ? i am not going to give it to me .
71,"quite sure you saw him in the hotel lobby?
",i do n't think so would be nice .
72,"he is a fellow with a very hard knee, and he knows how to use it.
",then ?
73,"it still doesn't matter if i kiss you?
",you are doing ?
74,"that is the second round i have lost tonight.  that fellow hurt me.
","this is the only reason , mrs. peel ."
75,"it sounds like a fair location. could you be a little more exact?
",welli .
76,"cant be too close for me.  right across the street from it suits me.  anything else listed?
","i do n't know . but i like the most beautiful , but that is all right at the world . it ."
77,"i hated to go to that place.  i almost went to the police station instead.
",i did n't know how you are being from .
78,"if you meant it, you wouldn't show it to me, betty.  or am i supposed to deliver it to dear inspector killaine?
","oh , yes !"
79,"take me where i haven't the courage to take myself.
",do you really think ?
80,"this is the ace, betty.  but not of spades.  they will find out about the other.  they might know already. and when they get this  what would they look for?  where? out there somewhere? 
",i am going to wait till on the one to find ! we are in the doctor . i mean being . . i know i know .
81,"you will be safe here.  i will not be long.  help yourself to anything you want. the galley's through there.  you can make coffee if you like.
",i must have a good time if i was told .
82,"i would still go througheven if i ended up in jail.
",you are not going to turn them out !
83,"well?
",i regret it is not too familiar .
84,"killaine's wise.  we cannot wait any longer.  here, put this on.  but stay out of sight until we clear the harbor.  i will tell you when. 
",i know you do .
85,"see anything?
",no .
86,"cold?
",yeah .
87,"i decided i didn't want a drink...i am beginning to wonder.
",you are not going anywhere .
88,"funny, i never thought of you that way.  you were so close too.  we were all pretty stupid about you.
",what kind of it ?
89,"in a way.
",can not be a little more little .
90,"it buys things, just like any other kind.
","if you do n't complete it in your mind , big boy ?"
91,"you will never make it.  you have out smarted yourself.
",why ?
92,"it wasn't the time or place.  don't worry about the note, baby.  i am playing for my neck now.
",you have got a whole room . i am not going with a thousand times .
93,"this is it, betty.  they will find us again, fog or no fog.
","yeah , i do n't know no impersonator ."
94,"i think you mean that.
",coward !
95,"yes, miss.
",you are ok . forget ?
96,"mrs. west is a very emotional woman.
","i do n't know , like i would like to have a little people are n't more of time ."
97,"please answer my question.
",what ?
98,"well, that is not getting us anywhere. you will not tell me who you are, or give any account of yourself. you will not even give me your address in the united states. why? unhappy marriage?
","yes , and the baby , yes ."
99,"your family coat of arms, mr. killaine?
",and now ! it 's not even !
100,"what this?
",i have n't found it . i mean it will still if i want you to bring it ...
101,"an unhappy marriage hardly seems a sufficient reason for that.
","well , i would have had the man in the god ! what was that !"
102,"good morning, mr. killaine. i am sorry i cannot give you the name of my bankbecause i have no bank at the moment.  that was a crude trick.
","yeah , sure . do n't call me , no !"
103,"care for a stroll outside? beautiful morning. the air is like wine, the sky is a deep blue.
",we are not going to sleep for that .
104,"florida?
",i saw somebody owes 's a guy .
105,"down below's stanley park. on the other side of the trees, there's a beach. you can see it.  steveston's over there. coast guard station.  there's the yacht club, and beyond it, the docks. the over on the other side of the inlet, there's grouse mountain. it's about 4000 feet high. there's a restaurant on top of it. very nice restaurant.  i am sorry we couldn't have met in pleasanter circumstances, miss mayfield.",what is that ?
106,"i will find out, you know. perhaps not todayperhaps not tomorrow. but in the end, i will find out.
",you have got to get some more than than than a time .
107,"i wouldn't make you talk about it. my job is the death of marry mitchell.  why cannot you give me your confidence?
",i know .
108,"you will not tell me who you are? you will not even give me a chance to help you?
",a little voice of my job .
109,"this isn't a very good place to talk.
",i have been lucky .
110,"i expected nothing else.
","you did n't have to come through that , right ?"
111,"i am about to be very silly.  a man passes a girl on the streeta very lovely girlhis eyes meet her eyes, and something reaches out and takes hold of his heart and then she goes on and is lost in the crowdand he says to himself, there goes my lost love and it's trueif he never sees her again, it's still true.  of course, after a while, he forgets or almost forgetsbecause after a while we forget almost everything.  but this man is a copper.  he gets ordersroutine ordersto go to a place and investigate a murder and everything points to a certain girl.
","i do n't know , dad !"
112,"you have got a couple of hours, maybe.
",oh ? where is that ?
113,"what are you going to dotoss your job into puget sound?  because i make you think of magnolias?  i thought policeman was something like a soldier.  that his duty came first.  however much he might happen hate it.
",you are so predictable .
114,"he could have killed me a dozen times.  you would never have known.
",i can not ... i will not stand in .
115,"but i tell youif you would only understand.
",i do n't know what i am on . i mean it 's in your head or i see you to .
116,"good morning, mr. brandon.
","good morning , john ."
117,"mr. reed, please, for mr.  brandon.  very well. have him call. mr. brandon is in his office now.  mr. reed stepped out, mr.  brandon.
","you can miss her , and god , so , so we can not so long stuff , miss ?"
118,"i would like a few words with you, in private.
",you have been drawn .
119,"nice friendly approach you have got. goble. i could hardly walk when i got out of bed this morning.
","you slept did , too ?"
120,"private eye?
",i do n't know .
121,"that is a nice hard knee you have got, goble. how would you like to trade it for a broken neck?
",yes .
122,"you hurt my feelings. i ought to raise the price to be a thousand.
",what ?
123,"there's two hundred. i will meet you in an hourwhere we met last night
",you are personally responsible .
124,"hi margo. hello killaine. you two come together?
",i am not sure you can do anything .
125,"let me introduce you. mr.  killaine, mrs. west.
","no , do n't ."
126,"what will you have, margo?
",what are you doing here ?
127,"you make friends quickly, don't you, clark?
",i am all right .
128,"i am sorry. this thing has just knocked me silly.  how long do we have to wait for this police character?
",i do n't know nothin ' to leave it ! i want to leave on my father .
129,"all right, let's see the buzzer.
",i do n't know why why hanggliding has the hands like you can not cut your clothes on this .
130,"how are your teeth getting along?
","it 's been , i got it when you took it ."
131,"what is this in favor of?
",tattoo . had it taken off .
132,"what?
",you smiled at me .
133,"it goes with this... cold houses and warm drinks...the effete englishman.
","no , fidget ..."
134,"that is what i like about cocktail parties. everyone is so perfectly natural.
",yeah . i know who you are like doing in that guys are doing .
135,"would it have helped if i would knocked him down?
",i am afraid .
136,"thank you.
","incidentally , dr. floyd , i wonder we would be in the day . and i wonder this is a czech ."
137,"where?
",the creek bed
138,"could be.
",i will not stand there .
139,"it was lying where on the balcony?
",i think so would n't one anything else .
140,"how about a cup of coffee?
",what do you think ?
141,"how are you two getting along?
",i do n't know .
142,"in case you want to have us followed.
",what ?
143,"time for a little chat?
","i do n't know , i do n't know ."
144,"thanks.  lovely view you have, haven't you?
","yes , sir ."
145,"and old man clarendon?  he had a motive, too.  margo and her money.
",and who 's your partner and and you can stay with you for a little bite ?
146,"mitchell was too drunk.
",you look out of this ?
147,"no more for me, thanks.  remember what i said.  i cannot interfere with the law.
",i am sorry i am sorry to be !
148,"you forgetting the gag line, killaine.  the police don't take anything for granted.
","i was in the last night , in the back ..."
149,"you do a lot of real estate trading, brandon?
","god , yes ."
150,"i had a father who knew how to steal.
",what ?
151,"hello, mitchell. having fun?
",why ?
152,"what is the matter, baby. don't you like me anymore?
",nothing .
153,"do me a favor, mitchell. find yourself a nice secluded park bench.
","i can handle it in , maybe . but i can not wait for your poor , and you fucked me ."
154,"good afternoon, mr. campbell.
",good morning .
155,"i think we would better discuss this in my office, mr. mitchell.
",you are going to be the first time .
156,"i am getting positively haggard. in a couple of years people will be describing me as well preserved.
","well , i am afraid to ask you for one ."
157,"so much less refined than frizzling them in the chair.
",where is luc ?
158,"what are you doing here?
",i am sixteen years old . i am underage . how could i possibly threaten you ?
159,"i am a very observant man. you had something in your bag this afternoon, something that causes you to hold it in a particular way. something that made a particular sound when you put it down on the bar. you went out with mitchell. none of us ever saw him again.
",that is true .
160,"one of these days, you are going to wake up in the middle of the night and find that you have cut your throat.
",i need you to know .
161,"mr. clarendon, have you ever seen this before?
","manhattan , can not be the first thing ?"
162,"i needn't keep you any longer, mr. clarendon.
",but you have n't been here .
163,"the harbor police have just picked up a dead man out of the water.
",a what ?
164,"and don't get too logical, driscoll. in police business it doesn't work. i wish it did.  but it doesn't
","i do n't know , nathan . but it 's very like that ."
165,"got a moment, inspector?
","frankly , yes ."
166,"we have done that.  he is a san francisco private eye.  name martin j. goble, goble.  had initials in his hat and for once he lived where he bought it.  goble and greer is the firm name.
",that is not so nice .
167,"catch me at the vancouver royal if it's important.
",you are not going to have some of them .
168,"the super's just given me the sweetest dressing down i have ever had.  i am still reeling from it. and believe me, i had it coming. i apologize.  what you think is importanti think is important.
",i have been here to find out .
169,"what is the face for, driscoll?
",i think we are going to be there is n't any of the doctor .
170,"i am looking for mr. brandon.
","you should be dead , too ?"
171,"i have an appointment with him, right here, right now.
",what is that ?
172,"mr. brandon couldn't be here.  he might have left something for you. what would it look like?
",i can find her .
173,"i need a receipt.  sign your name across the flap.
",no one .
174,"you in charge here?
","i have got a feeling like this again , will you go in the office ?"
175,"i knew him. he was easy to dislike, poor chap.
","yeah ... so , but i do n't think so happy ... really really really really really turn it ..."
176,"... i supposed you knew her, too, inspector.
",you seem !
177,"pearlhandled .25 automatic, uh?  no, it's a belgian gun... 6.6 mm.",that is what it is .
178,"this make of gun throws a shell backwards, high, and to the right. the chaise is only about four feet from the wall.
",it 's not so nice to be so before .
179,"she didn't seem the type to lam outeven if she got the chance. that stuff was all gone through last night.  anything special you are looking for, inspector?
",i have been so much better like the world . you know so have in love .
180,"g.g. market oneeightfourtwo.
",can not be long long there .
181,"that is pretty risky business, inspector.
",we rest there two of my way ...
182,"not too hard, is it?
",what ?
183,"was that about the right angle?
",what ?
184,"you have got a dead man on your hands. you killed jimeven if it wasn't murder.  what are you going to do about it?
",i did n't know you are . i would better your dad and everything that turned .
185,"this is the shell.  what about the gun?
",the bazookas ?
186,"how did he know he would get the chance? he couldn't have arranged it.
",he said what were they ?
187,"greer and goble in the call building, san francisco.  just like you thought...two murders in two days.  different places, different methods, different people. nothing connects them, but a telephone number.
",that is true .
188,"oh, the coldstream guards.  don't you take your hat off in elevators?
",no .
189,"may you what?
",no .
190,"scotch and plain water, i think.
","that is not necessary , it 's still too much ."
191,"i never saw it before.
",what is that ?
192,"what about me?
",i do n't know .
193,"you knew mitchell pretty well, didn't you, mrs. west?
",no .
194,"remember that time, didn't i? good morning mrs. west.  does your visit here mean you have changed your mind?
",okay .
195,"you couldn't possible have traced it this soonnot possibly.
","you mean , i mean it ."
196,"yes, i think so.  here are two glazed manila envelopes.  one is the bag type.  the other one had the money in it.  don't ask me how i know.  i know.
",you must have a good idea
197,"no doubt about that one.
",we have all been here all right out .
198,"you will have to take my word for it.  we don't make slides until we have perfect prints for comparison.
",maybe you should have a lot to use your personal calls .
199,"this gun permit was issued to clark brandon?
","yes , very good . thank you ."
200,"killaine, this is mr. mitchell, senior.  young mitchell's father. he just flew in from toronto.
","i am so hungry , miss ?"
201,"i have explained the situation to mr. mitchell up to a point.  now about this mayfield girl?
",who is he ?
202,"no.
",you mean to tell me you will a time ?
203,"am i to interpret that as an order to arrest miss mayfield?
",why ?
204,"are you a policeman or a softheaded nincompoop?
","we have got a sweetpayin ' , okay ? i am not crazy ."
205,"this girl is a murderess, killaine.
",what are you doing here ?
206,"superintendent j. mckechnie, vancouver police department. vancouver b.c. replaying to your e.p. teletype classification no. 2684 incomplete.  we advise identification possible.  elizabeth kinsolving, arrested greenwater, north carolina, january 8, 1948, on a charge of murder.  signed, fbi., washington, d.c. h. cleary, inspector in charge.  have ye any comment, killaine?",i can not tell you that .
207,"physical description age 26, height 5  1 34 inches weight, 188 pounds light brown hair deep blue eyes small, perfectly formed features ears and earlobes small slender build wears size 4 aa shoe quiet refined manner new york accent no charges pending. no prior criminal record.  mayfield, mother's name.  airmailing you photographs today.  signed hubert tollison, chief of police, greenwater, north carolina.  she bleached her hair, or course.  would your sensibilities be offended, if i sent out a general alarm to pick up this girl?",no .
208,"i believe you won decorations during the war.
",oh . i am still a waiter !
209,"there are people in this world who don't think a police badge is a badge of honor.  i am not one of them.
","but , unfortunately ."
210,"get out of here!
","no , you get out of here ."
211,"i am afraid you are not very glad to see me, margo.
",what are you talkin ' about ? i always do n't think so could be . i am not afraid ...
212,"i hoped to get enough to cover them before they cleared. i wasn't lucky.
",yeah .
213,"what will we do about it, margo?
",we are not cops .
214,"i have always been a heel. i guess i always will be.
","you must have been here . the other time i asked you , i would look to be the time ."
215,"i seem to remember that you like to help yourself.
",of course not at .
216,"what is this?
",i am taking a piss .
217,"i am sorry. i forgot about calling for you.
",you have no .
218,"she is beautiful. and young.  no thank you.
",no .
219,"you are very attractive, my dear. and you look very unsophisticated.
",i do n't know what you are talking about .
220,"mr. penfield.  i am sorry to have kept you.
",i was n't sure to tell you .
221,"he is a little unhappy.  i hope he wasn't a nuisance?
",he is a man .
222,"my first husband worked for the bbc.  i doubt if anyone there remembers him now, just another long dead diligent administrator. he would have been useful in the fight to preserve the bbc's independence during the suez crisis  one of the few things he was passionate about.  i became involved too.  i started work on a book that would have been published on the tenth anniversary of suez. then he died, and i loots the will to write it.  by the time i was over his death, other books had been published, and it wasn't worth going on.
",what ?
223,"my husband apologises for not joining us.  it's not too cold for you, mr. penfield?
","no , no . no . no more no ..."
224,"to ann.
",to wilson .
225,"here i am lecturing you.  have some pt.
","i am not shaving , though ."
226,"so i can go ahead and be a historian without feeling like a poseur.i shall be fulfilling a citizen's duty.
",i do n't know what i can do .
227,"i do worry about susan.  have you known her long?  she hasn't mentioned you.
",really ?
228,"thank you.
","incidentally , dr. floyd , i wonder we would be in the day . and i wonder this is a czech ."
229,"the references are to hansard or to newspapers.  i haven't got the actual speeches now.  you will have to chase them up.
",what ?
230,"hello.  anyone for a walk?  tom isn't, i can tell you.
",there 's a little thing .
231,"shall we go?
",i do n't think so .
232,"then i began to listen to what the welloff were saying about the poor now  the war had just ended, and the language was much the same as it had been before the first reform act.  a small minority thought that england was really theirs, they had made it, they owned it.  the rest, the wage earners, were foreigners, outsiders intent on wrecking it all.
",i do n't know know what .
233,"thank you.
","incidentally , dr. floyd , i wonder we would be in the day . and i wonder this is a czech ."
234,"now first of all, tell us your name.
",what for what ?
235,"but i am not an interviewer or a correspondent.
",can not hear anything ? you are ahead . i only got a good time .
236,"give them here.  this tells you how the women's peace camp came to be set up.  all local women at first, then we had support from women and men all over the country.
","you have got of here , so we are so goddamn ."
237,"terrific.
",what is it ?
238,"charles!  i didn't know you were back.  have a good holiday?
","no , thanks , i do n't mind there ."
239,"how's mary?
",what ?
240,"aha.  james giving some woman the old heaveho.
",you have heard of a little lady ?
241,"it's terribly good.
",what is the scale ?
242,"committed to memory.  forever.
",i will be there ...
243,"attributed?
",basil the ii .
244,"congratulations.  who with?
",not yet .
245,"i know, i know!  gentlemen, let me introduce you to one of our most talented contributors to the cold war.  james penfield.  he wrote the opening chapter, on 'the berlin airlift'.  one of the best chapters in the book.
",you have been here to build . soon ?
246,"would you like a dessert...i am having one.
",i came up .
247,"yes...you are not a socialist then?
",what ?
248,"personally james, i am very excited by this new arrangement we have. it gives us direct access to literally hundreds of american collages.  twentieth century history is a growth area over there, don't ask me why.  your readership will be first and second year american collage students...
","you are a fine crazy , i can have some things in to mark !"
249,"james... i cannot begin to tell you how pleased we all are.  congratulations, and i really mean it.
",i can not answer ...
250,"so it's all worked out perfectly...
",what do you mean ?
251,"was that your chapter, then?  it was very good.
","i know , dad ."
252,"can i give you a lift?
",sure .
253,"what did you think of that wadja film?
",me ?
254,"everyone describes the same process. at first it is exciting.  you are at the centre of the world.  as soon as anything happens, you are the first to know about it.  and there are deadlines a dozen times a day, even more, and that is intimidating and exciting.  then you get the hang of it and the excitement wears off.  your a clerk in a rather dowdy office.  there's none of the glamour of television, or the penetration of serious journalism.  you are a processor of semiofficial news.  some people leave at this stage.  then, if you hang on, and especially if you are promoted, you discover a new kind of pleasure.  you are pleased by the ease with which you can write summaries and bulletins from news agency printouts, by the way you ca judge length.  ending a broadcast on the dot, having everything run smoothly, selecting a running order that makes sense, knowing instinctively what you can and cannot do.  professionalism.
",yeah ?
255,"mummy and i, we were more like lovers, really, or sisters.  then a couple of years after daddy died, and not long after i left oxford, she started seeing various men and i was furious.  i really was upset. i stopped going home.  i never phoned.  i went round telling everyone how awful her books were. and she hardly seemed to notice, and that made me angrier.  then i got a job i was interested in, and i started to see lots of men, and i suppose i grew up a little and began to understand.  so i wrote her a long letter, almost seven pages, saying how sorry i was, and how i was worried that we were drifting apart.  and do you know, she wrote me a poem, a really beautiful poem about mothers and daughters.
","well , if the bugs are up up , you are the best , and the heat , and the things things are up ."
256,"damn.  they are early.
",what do you mean ?
257,"again?
",i regret it is not too familiar .
258,"why not stay?
",i am going to see that .
259,"you don't trust me.
","oh , you do n't ?"
260,"i might see you in norfolk over the weekend.
",you are kidding .
261,"i think we are ready now, thank you.  and how was norfolk?  did you get on with my mother?
",yes .
262,"do you think she is invited you up for her sake or for mine?
","no , you must be . that is n't we go to the meeting ."
263,"i haven't seen much of you.
",what about is it ?
264,"look, will you come on a walk with me tomorrow?
",no .
265,"might?
",yes .
266,"jeremy phoned this morning
",what are you doing ?
267,"shall we have a drink or something?
",i do n't think so .
268,"we don't seem to get much time to talk.
",not a little more complicated with my life .
269,"not here.
",where ?
270,"blas and epicene.
",do n't do see .
271,"c'mon.  i don't want any jones about this.
","i am telling you , i saw it was in a new place of my life ."
272,"bastard.
",what ?
273,"to the fleet.
",on a copy of the line ?
274,"now, top secret file.
",i do n't know . i do n't know why i am doing trying to speak to me .
275,"uhhuh.  tell me what you think of this first.
",what ?
276,"she is never written a book in it, but she clearly knew a lot.
",no . i think she had a man .
277,"that is enough of that.
",we have got to get out of here . we have to have to find where here .
278,"what have you been up to?
",i am robbing this place .
279,"fortunate that i was here to keep susan entertained.
",how did you find him ?
280,"perhaps i will, then.
",no problem .
281,"still in love?
",i have been listening to tonight .
282,"six onion bajees!  great girl.  did you shake the mother off?
",no !
283,"susan and i are very old friends, james.
",i am not scared .
284,"hello.
",this is cheeba .
285,"what period?
",we will worry about customs now ... i will raise you with me .
286,"wait...and with talks at the united nations still making little progress, tension and anxiety settled on mps of all parties in westminster.  speaking on the jimmy young show earlier today, mrs thatcher said the prospects of a peaceful solution did not look encouraging.  what is it?
",it 's ukrainian .
287,"not bad.
",what is the argument ?
288,"it's that lady from norfolk again.
",i will be right .
289,"hello, jimmy.
","hello , ferrari . how 's business at the blue parrot ?"
290,"so how is she?
",i am taking you out .
291,"everyone's been marvellous really, jimmy.  the neighbours come and sit with her while i am at work.
",i can not answer that .
292,"i have got to be going.  i have got a meeting tonight.
",where are you going ?
293,"i just might give you a ring when we get back to london.  there's one or two things i would like to... will you let me have your number before you leave?  have you ever watched a commercial being made?
","i want you know , nathan ."
294,"i will tell you another thing.  we might have led the world once into the industrial revolution, now we lead with television commercials. we are the best, it's as simple as that.  even the americans will admit it now ... the camera work, the acting, the scripts, special effects.  we have got the lot.  nearly all the good directors here have ambitions to make serious films.  that food you are eating.
",they are not costumes .
295,"susan told me that your visits to norfolk had ... well, an ulterior motive.
",i have no choice .
296,"jeremy!  how fantastic.
",what would you do ?
297,"it was last year.
","yeah , that is a different guy 's . . you know him anyway ."
298,"darling susan.  you look like an angel.  but where is your hat?
",twombley .
299,"don't point it at james!
",i am the crane .
300,"what have you got there?
",i am sixteen years old . i am underage . how could i possibly threaten you ?
301,"we will see what we can do.
",what kind of junior p.i ?
302,"it was incredible.  he came back, made a pompous little bow and said, 'my dear girl you may film me all afternoon if you wish.' and he is promised not to talk to the press.
",what ?
303,"don't close the door.  don't turn out the hall light.
",i do n't know how you are coming . i have n't got a whole girl in here .
304,"ah, susy, it...
",motherachrist ...
305,"don't you want to walk, tom?
",we keep both them him .
306,"something happened.  you got nuked in the last quarter.
",yes .
307,"friends of yours, huh?
",my coat .
308,"gonna be some people at my house tonight.  maybe you can make it.
","no , i do n't think i will be ."
309,"don't you gamble?
",yes .
310,"so what is the biggest?  waimea?
",what is the matter ?
311,"i gotta be fucking crazy.
",you hafta ' me for a while ... a bed .
312,"football's a manmade game.  you keep score with numbers.  but in this, there's no field, no rules, no opponent.  just you and the wave.
",i can not
313,"how you figure?
",fine .
314,"one shot stopping.
","that is right , that is the kind of the good one ."
315,"ever done this before?
",yeah .
316,"it's a little ceremony we always have at the end of summer.  one last speedstar.
","i do n't have to go home , do n't let the meeting ."
317,"we gonna jump or jerk off?
",no .
318,"utah, you copy bruddah?
",i am in a hurry .
319,"you gonna pull?
",no .
320,"don't screw around man, pull it!
",it will be too late .
321,"what is this?
",i am taking a piss .
322,"you are a fucking dead man
","yeah , he is in a long time . i got it over him ."
323,"talk.
",what is it ?
324,"you call him... right now... and tell him to let her go.
",what is the matter ?
325,"we are wasting time.
",what are you going here ?
326,"i cannot do this.
",you are protecting somebody .
327,"i am not armed.
",what ?
328,"where is roach?
",on the plane . that is what i am doing .
329,"why should i?
",i just know .
330,"pretty radical, johnny.  even for you.  why don't you pull it?
",i am not really bad .
331,"go on, johnny.  pull it.  but you gotta drop the gun, first!  right?! you use your other hand what you gonna hold on with?
",no .
332,"three seconds... two... one...
",where is he ?
333,"wild ride, huh?
","it 's good good i can see out , man ."
334,"and i always knew i could count on you, agent utah.
",you know ?
335,"yeah?  what?
",hi . it 's nathan .
336,"you sure he isn't out back?  you mind if i go take a look?
",i do n't know .
337,"you know less than nothing.  if you even knew that you knew nothing, at least that would be something, but you don't.
",that is nice .
338,"eating solid breakfasts, utah?
",not really ...
339,"this is us.  bank robbery.  and you are in the bankrobbery capital of the world
",but the emperor of china have a power .
340,"you are a real blueflame special, aren't you, utah?  i don't know why they sent you to la.  must be an asshole shortage.
",yeah ?
341,"how was the beach?
",sobering ...
342,"special agent utah, this is not some job flippin' burgers at the drivein. yes, the surfboard bothers me.  yes, your approach to this case bothers me.  and yes, you bother me.  you two have produced squat in the last two weeks, during which time the ex presidents have robbed two more banks!!  do you have anything even remotely interesting to tell me?
",not without .
343,"three men dead.  one of them a cop. how's that sit in your gut, utah?
","i do n't know , sire ! , that is not ... i am ... !"
344,"they found the drop car up on mulholland.  i want you two to go work it.
","i am not afraid of praying , right ! i will help you all right in ."
345,"cole and munoz?  i been on this case for two years.
",what ?
346,"look, harp.  don't turn him over to the uniforms like some punk.  let me ride him in.
",you are a comfort . you know who to me .
347,"harp, let me tell you something.  i was an agent in this bureau when your mommy was still wiping your shinny pink ass, and you know one thing i learned in all those years that you still haven't?
","i do n't know , nathan . that is all right ."
348,"added to which indignity, i got three months left to retirement and they saddle me with some blueflamer fresh out of quantico for a partner. some quarterback punk, johnny unitas or something.
","well , what do do you ask you ?"
349,"pappas.  angelo pappas.
",do n't bother .
350,"good move.
",i am really sorry you warrant .
351,"they don't go for the vault?
",next time .
352,"surgical.  look at them separate the dye packs.  dick and ronny know their jobs.
",are you telling ?
353,"you through, mr. wizard?  let me know if you find jimmy hoffa under the seat while you are at it.  hell, it's only 730.  the night's still young... you can solve this case and start on another one.","well , i am sorry to to quit ."
354,"sorry.
",it 's like a woman in my life .
355,"oh well he must be a surfer.
","listen me , frances ."
356,"candle wax.  car wax.  mustache wax? could be anything.  guy's waxing his mustache at the beach.  gets sand in it.  wipes it off with a shoe.  shoe scuffs the counter.
",maybe else that .
357,"sex wax?  you are not into kinky shit, are you angelo?
",you are all .
358,"... four months.  june to october. mmmm...same the year before.
",yeah ... i read that one man .
359,"johnny, it's the only way.
","i do , just to the store ."
