,inputs,outputs
134,"that is what i like about cocktail parties. everyone is so perfectly natural.
",i am sorry .
135,"would it have helped if i would knocked him down?
",i do n't know .
136,"thank you.
",you are not going to do .
137,"where?
",i am afraid .
138,"could be.
",i am sorry .
139,"it was lying where on the balcony?
",i do n't know .
140,"how about a cup of coffee?
",i do n't know .
141,"how are you two getting along?
",i do n't know .
142,"in case you want to have us followed.
",i am not .
143,"time for a little chat?
",i do n't know .
144,"thanks.  lovely view you have, haven't you?
",i do n't know .
145,"and old man clarendon?  he had a motive, too.  margo and her money.
",you are not going to do with me .
146,"mitchell was too drunk.
",i am sorry .
147,"no more for me, thanks.  remember what i said.  i cannot interfere with the law.
",i am sorry .
148,"you forgetting the gag line, killaine.  the police don't take anything for granted.
",i do n't know .
149,"you do a lot of real estate trading, brandon?
",i do n't know .
150,"i had a father who knew how to steal.
",i am sorry .
151,"hello, mitchell. having fun?
","yes , sir ."
152,"what is the matter, baby. don't you like me anymore?
",i do n't know .
153,"do me a favor, mitchell. find yourself a nice secluded park bench.
",i am sorry .
154,"good afternoon, mr. campbell.
",good morning .
155,"i think we would better discuss this in my office, mr. mitchell.
",i am sorry .
156,"i am getting positively haggard. in a couple of years people will be describing me as well preserved.
",you are not going to do with me .
157,"so much less refined than frizzling them in the chair.
",i am sorry .
158,"what are you doing here?
",i do n't know .
159,"i am a very observant man. you had something in your bag this afternoon, something that causes you to hold it in a particular way. something that made a particular sound when you put it down on the bar. you went out with mitchell. none of us ever saw him again.
",i can not .
160,"one of these days, you are going to wake up in the middle of the night and find that you have cut your throat.
",i do n't know .
161,"mr. clarendon, have you ever seen this before?
",i do n't know .
162,"i needn't keep you any longer, mr. clarendon.
",i am sorry .
163,"the harbor police have just picked up a dead man out of the water.
",i do n't know .
164,"and don't get too logical, driscoll. in police business it doesn't work. i wish it did.  but it doesn't
",i know .
165,"got a moment, inspector?
",i do n't know .
166,"we have done that.  he is a san francisco private eye.  name martin j. goble, goble.  had initials in his hat and for once he lived where he bought it.  goble and greer is the firm name.
","no , no , no , no , no , no , no , no , no , no , no , no , no , no , no , no"
167,"catch me at the vancouver royal if it's important.
",i am sorry .
168,"the super's just given me the sweetest dressing down i have ever had.  i am still reeling from it. and believe me, i had it coming. i apologize.  what you think is importanti think is important.
",i can not .
169,"what is the face for, driscoll?
",i do n't know .
170,"i am looking for mr. brandon.
",i know .
171,"i have an appointment with him, right here, right now.
",you are not going to do .
172,"mr. brandon couldn't be here.  he might have left something for you. what would it look like?
",i do n't know .
173,"i need a receipt.  sign your name across the flap.
",i am sorry .
174,"you in charge here?
",i do n't know .
175,"i knew him. he was easy to dislike, poor chap.
",i am sorry .
176,"... i supposed you knew her, too, inspector.
",i am sorry .
177,"pearlhandled .25 automatic, uh?  no, it's a belgian gun... 6.6 mm.",you are not going to do with me .
178,"this make of gun throws a shell backwards, high, and to the right. the chaise is only about four feet from the wall.
","okay , but we are ."
179,"she didn't seem the type to lam outeven if she got the chance. that stuff was all gone through last night.  anything special you are looking for, inspector?
",follow where .
180,"g.g. market oneeightfourtwo.
",what ?
181,"that is pretty risky business, inspector.
",i know .
182,"not too hard, is it?
",i do n't know .
183,"was that about the right angle?
",i do n't know .
184,"you have got a dead man on your hands. you killed jimeven if it wasn't murder.  what are you going to do about it?
",okay .
185,"this is the shell.  what about the gun?
",i do n't know .
186,"how did he know he would get the chance? he couldn't have arranged it.
",i do n't know .
187,"greer and goble in the call building, san francisco.  just like you thought...two murders in two days.  different places, different methods, different people. nothing connects them, but a telephone number.
",are just going to go .
188,"oh, the coldstream guards.  don't you take your hat off in elevators?
",i do n't know .
189,"may you what?
",i am sorry .
190,"scotch and plain water, i think.
",i am sorry .
191,"i never saw it before.
",i am not .
192,"what about me?
",i do n't know .
193,"you knew mitchell pretty well, didn't you, mrs. west?
",i do n't know .
194,"remember that time, didn't i? good morning mrs. west.  does your visit here mean you have changed your mind?
",i do n't know .
195,"you couldn't possible have traced it this soonnot possibly.
",i am sorry .
196,"yes, i think so.  here are two glazed manila envelopes.  one is the bag type.  the other one had the money in it.  don't ask me how i know.  i know.
","okay , i do n't know ."
197,"no doubt about that one.
",i am sorry .
198,"you will have to take my word for it.  we don't make slides until we have perfect prints for comparison.
",i am sorry .
199,"this gun permit was issued to clark brandon?
","yes , sir ."
200,"killaine, this is mr. mitchell, senior.  young mitchell's father. he just flew in from toronto.
",i am sorry .
201,"i have explained the situation to mr. mitchell up to a point.  now about this mayfield girl?
","yes , sir ."
202,"no.
",what ?
203,"am i to interpret that as an order to arrest miss mayfield?
","yes , sir ."
204,"are you a policeman or a softheaded nincompoop?
","yes , sir ."
205,"this girl is a murderess, killaine.
",i am sorry .
206,"superintendent j. mckechnie, vancouver police department. vancouver b.c. replaying to your e.p. teletype classification no. 2684 incomplete.  we advise identification possible.  elizabeth kinsolving, arrested greenwater, north carolina, january 8, 1948, on a charge of murder.  signed, fbi., washington, d.c. h. cleary, inspector in charge.  have ye any comment, killaine?",i do n't know .
207,"physical description age 26, height 5  1 34 inches weight, 188 pounds light brown hair deep blue eyes small, perfectly formed features ears and earlobes small slender build wears size 4 aa shoe quiet refined manner new york accent no charges pending. no prior criminal record.  mayfield, mother's name.  airmailing you photographs today.  signed hubert tollison, chief of police, greenwater, north carolina.  she bleached her hair, or course.  would your sensibilities be offended, if i sent out a general alarm to pick up this girl?",follow not .
208,"i believe you won decorations during the war.
",i am sorry .
209,"there are people in this world who don't think a police badge is a badge of honor.  i am not one of them.
",i do n't know .
210,"get out of here!
","i am sorry , i am not filming ."
211,"i am afraid you are not very glad to see me, margo.
",i am sorry .
212,"i hoped to get enough to cover them before they cleared. i wasn't lucky.
",i do n't know .
213,"what will we do about it, margo?
",i do n't know .
214,"i have always been a heel. i guess i always will be.
",i do n't know .
215,"i seem to remember that you like to help yourself.
",i am not .
216,"what is this?
",i do n't know .
217,"i am sorry. i forgot about calling for you.
",i am not going to see you .
218,"she is beautiful. and young.  no thank you.
",i am sorry .
219,"you are very attractive, my dear. and you look very unsophisticated.
",i am sorry .
220,"mr. penfield.  i am sorry to have kept you.
",i am not .
221,"he is a little unhappy.  i hope he wasn't a nuisance?
",i do n't know .
222,"my first husband worked for the bbc.  i doubt if anyone there remembers him now, just another long dead diligent administrator. he would have been useful in the fight to preserve the bbc's independence during the suez crisis  one of the few things he was passionate about.  i became involved too.  i started work on a book that would have been published on the tenth anniversary of suez. then he died, and i loots the will to write it.  by the time i was over his death, other books had been published, and it wasn't worth going on.
","okay , but i have got a little thing ."
223,"my husband apologises for not joining us.  it's not too cold for you, mr. penfield?
",i do n't know .
224,"to ann.
",i am sorry .
225,"here i am lecturing you.  have some pt.
",i am sorry .
226,"so i can go ahead and be a historian without feeling like a poseur.i shall be fulfilling a citizen's duty.
",i am sorry .
227,"i do worry about susan.  have you known her long?  she hasn't mentioned you.
",i do n't know .
228,"thank you.
",you are not going to do .
229,"the references are to hansard or to newspapers.  i haven't got the actual speeches now.  you will have to chase them up.
",i do n't know .
230,"hello.  anyone for a walk?  tom isn't, i can tell you.
",i do n't know .
231,"shall we go?
",i am not .
232,"then i began to listen to what the welloff were saying about the poor now  the war had just ended, and the language was much the same as it had been before the first reform act.  a small minority thought that england was really theirs, they had made it, they owned it.  the rest, the wage earners, were foreigners, outsiders intent on wrecking it all.
",run go to
233,"thank you.
",you are not going to do .
234,"now first of all, tell us your name.
",i am sorry .
235,"but i am not an interviewer or a correspondent.
",i know .
236,"give them here.  this tells you how the women's peace camp came to be set up.  all local women at first, then we had support from women and men all over the country.
",where are not ?
237,"terrific.
",what is it ?
238,"charles!  i didn't know you were back.  have a good holiday?
",i do n't know .
239,"how's mary?
",i do n't know .
240,"aha.  james giving some woman the old heaveho.
",i am sorry .
241,"it's terribly good.
",i am sorry .
242,"committed to memory.  forever.
",i am sorry .
243,"attributed?
","yes , but i am afraid ."
244,"congratulations.  who with?
","yes , sir ."
245,"i know, i know!  gentlemen, let me introduce you to one of our most talented contributors to the cold war.  james penfield.  he wrote the opening chapter, on 'the berlin airlift'.  one of the best chapters in the book.
",go on .
246,"would you like a dessert...i am having one.
",i am not .
247,"yes...you are not a socialist then?
",i do n't know .
248,"personally james, i am very excited by this new arrangement we have. it gives us direct access to literally hundreds of american collages.  twentieth century history is a growth area over there, don't ask me why.  your readership will be first and second year american collage students...
","okay , ..."
249,"james... i cannot begin to tell you how pleased we all are.  congratulations, and i really mean it.
",i do n't know .
250,"so it's all worked out perfectly...
","i am sorry , i am sorry ."
251,"was that your chapter, then?  it was very good.
",i am not sure .
252,"can i give you a lift?
",i do n't know .
253,"what did you think of that wadja film?
",i do n't know .
254,"everyone describes the same process. at first it is exciting.  you are at the centre of the world.  as soon as anything happens, you are the first to know about it.  and there are deadlines a dozen times a day, even more, and that is intimidating and exciting.  then you get the hang of it and the excitement wears off.  your a clerk in a rather dowdy office.  there's none of the glamour of television, or the penetration of serious journalism.  you are a processor of semiofficial news.  some people leave at this stage.  then, if you hang on, and especially if you are promoted, you discover a new kind of pleasure.  you are pleased by the ease with which you can write summaries and bulletins from news agency printouts, by the way you ca judge length.  ending a broadcast on the dot, having everything run smoothly, selecting a running order that makes sense, knowing instinctively what you can and cannot do.  professionalism.
",i am not .
255,"mummy and i, we were more like lovers, really, or sisters.  then a couple of years after daddy died, and not long after i left oxford, she started seeing various men and i was furious.  i really was upset. i stopped going home.  i never phoned.  i went round telling everyone how awful her books were. and she hardly seemed to notice, and that made me angrier.  then i got a job i was interested in, and i started to see lots of men, and i suppose i grew up a little and began to understand.  so i wrote her a long letter, almost seven pages, saying how sorry i was, and how i was worried that we were drifting apart.  and do you know, she wrote me a poem, a really beautiful poem about mothers and daughters.
",i do n't know .
256,"damn.  they are early.
",i am sorry .
257,"again?
",yes .
258,"why not stay?
",i am not sure .
259,"you don't trust me.
",i am not .
260,"i might see you in norfolk over the weekend.
",i am sorry .
261,"i think we are ready now, thank you.  and how was norfolk?  did you get on with my mother?
",i do n't know .
262,"do you think she is invited you up for her sake or for mine?
",i do n't know .
263,"i haven't seen much of you.
",i am not .
264,"look, will you come on a walk with me tomorrow?
",i do n't know .
265,"might?
",i am sorry .
266,"jeremy phoned this morning
",what ?
267,"shall we have a drink or something?
",i do n't know .
268,"we don't seem to get much time to talk.
",i am not going to see you .
269,"not here.
",i am sorry .
270,"blas and epicene.
",what ?
271,"c'mon.  i don't want any jones about this.
",i am not going to be careful .
272,"bastard.
",what ?
273,"to the fleet.
",i am afraid .
274,"now, top secret file.
",i am sorry .
275,"uhhuh.  tell me what you think of this first.
",i am not .
276,"she is never written a book in it, but she clearly knew a lot.
",you are not going to do it .
277,"that is enough of that.
",i am sorry .
278,"what have you been up to?
",i do n't know .
279,"fortunate that i was here to keep susan entertained.
",i am sorry .
280,"perhaps i will, then.
",i am not .
281,"still in love?
",i do n't know .
282,"six onion bajees!  great girl.  did you shake the mother off?
",i do n't know .
283,"susan and i are very old friends, james.
",i know .
284,"hello.
","hey , you are welcome ."
285,"what period?
",i do n't know .
286,"wait...and with talks at the united nations still making little progress, tension and anxiety settled on mps of all parties in westminster.  speaking on the jimmy young show earlier today, mrs thatcher said the prospects of a peaceful solution did not look encouraging.  what is it?
",no .
287,"not bad.
",i am sorry .
288,"it's that lady from norfolk again.
",i am sorry .
289,"hello, jimmy.
",hi .
290,"so how is she?
",i do n't know .
291,"everyone's been marvellous really, jimmy.  the neighbours come and sit with her while i am at work.
",i do n't know .
292,"i have got to be going.  i have got a meeting tonight.
",i do n't know .
293,"i just might give you a ring when we get back to london.  there's one or two things i would like to... will you let me have your number before you leave?  have you ever watched a commercial being made?
",follow not .
294,"i will tell you another thing.  we might have led the world once into the industrial revolution, now we lead with television commercials. we are the best, it's as simple as that.  even the americans will admit it now ... the camera work, the acting, the scripts, special effects.  we have got the lot.  nearly all the good directors here have ambitions to make serious films.  that food you are eating.
","okay , but i have got a little thing of a fuckin ' tracker ."
295,"susan told me that your visits to norfolk had ... well, an ulterior motive.
",i do n't know .
296,"jeremy!  how fantastic.
",what ?
297,"it was last year.
",i am not afraid .
298,"darling susan.  you look like an angel.  but where is your hat?
",i do n't know .
299,"don't point it at james!
","i am sorry , i am sorry ."
300,"what have you got there?
",i do n't know .
301,"we will see what we can do.
",i am not .
302,"it was incredible.  he came back, made a pompous little bow and said, 'my dear girl you may film me all afternoon if you wish.' and he is promised not to talk to the press.
",i have to go .
303,"don't close the door.  don't turn out the hall light.
",i am sorry .
304,"ah, susy, it...
",what is it ?
305,"don't you want to walk, tom?
",i am not sure .
306,"something happened.  you got nuked in the last quarter.
",i am sorry .
307,"friends of yours, huh?
",i do n't know .
308,"gonna be some people at my house tonight.  maybe you can make it.
",i do n't know .
309,"don't you gamble?
",i am not sure .
310,"so what is the biggest?  waimea?
",i do n't know .
311,"i gotta be fucking crazy.
",i am sorry .
312,"football's a manmade game.  you keep score with numbers.  but in this, there's no field, no rules, no opponent.  just you and the wave.
","okay , but i have got a little things ."
313,"how you figure?
",i do n't know .
314,"one shot stopping.
",i am sorry .
315,"ever done this before?
",i do n't know .
316,"it's a little ceremony we always have at the end of summer.  one last speedstar.
",i do n't know .
317,"we gonna jump or jerk off?
",i do n't know .
318,"utah, you copy bruddah?
","yes , sir ."
319,"you gonna pull?
",i am sorry .
320,"don't screw around man, pull it!
",i am sorry .
321,"what is this?
",i do n't know .
322,"you are a fucking dead man
",i am sorry .
323,"talk.
",what is it ?
324,"you call him... right now... and tell him to let her go.
",i do n't know .
325,"we are wasting time.
",i am not .
326,"i cannot do this.
",i am not .
327,"i am not armed.
",i am sorry .
328,"where is roach?
",i do n't know .
329,"why should i?
",i am not .
330,"pretty radical, johnny.  even for you.  why don't you pull it?
",i do n't know .
331,"go on, johnny.  pull it.  but you gotta drop the gun, first!  right?! you use your other hand what you gonna hold on with?
",i do n't know .
332,"three seconds... two... one...
","i am sorry , i am sorry ."
333,"wild ride, huh?
","yes , sir ."
334,"and i always knew i could count on you, agent utah.
",i am sorry .
335,"yeah?  what?
",i am sorry .
336,"you sure he isn't out back?  you mind if i go take a look?
",i do n't know .
337,"you know less than nothing.  if you even knew that you knew nothing, at least that would be something, but you don't.
",i know .
338,"eating solid breakfasts, utah?
","yes , sir ."
339,"this is us.  bank robbery.  and you are in the bankrobbery capital of the world
",i do n't know .
340,"you are a real blueflame special, aren't you, utah?  i don't know why they sent you to la.  must be an asshole shortage.
",i do n't know .
341,"how was the beach?
",i do n't know .
342,"special agent utah, this is not some job flippin' burgers at the drivein. yes, the surfboard bothers me.  yes, your approach to this case bothers me.  and yes, you bother me.  you two have produced squat in the last two weeks, during which time the ex presidents have robbed two more banks!!  do you have anything even remotely interesting to tell me?
",are not going to go .
343,"three men dead.  one of them a cop. how's that sit in your gut, utah?
",i do n't know .
344,"they found the drop car up on mulholland.  i want you two to go work it.
",i do n't know .
345,"cole and munoz?  i been on this case for two years.
",you are not going to do with you .
346,"look, harp.  don't turn him over to the uniforms like some punk.  let me ride him in.
",i do n't know .
347,"harp, let me tell you something.  i was an agent in this bureau when your mommy was still wiping your shinny pink ass, and you know one thing i learned in all those years that you still haven't?
",i have to go .
348,"added to which indignity, i got three months left to retirement and they saddle me with some blueflamer fresh out of quantico for a partner. some quarterback punk, johnny unitas or something.
",are just going to the job .
349,"pappas.  angelo pappas.
",what ?
350,"good move.
",i am sorry .
351,"they don't go for the vault?
",i do n't know .
352,"surgical.  look at them separate the dye packs.  dick and ronny know their jobs.
",i do n't know .
353,"you through, mr. wizard?  let me know if you find jimmy hoffa under the seat while you are at it.  hell, it's only 730.  the night's still young... you can solve this case and start on another one.",i have to go .
354,"sorry.
",what ?
355,"oh well he must be a surfer.
",i know .
356,"candle wax.  car wax.  mustache wax? could be anything.  guy's waxing his mustache at the beach.  gets sand in it.  wipes it off with a shoe.  shoe scuffs the counter.
",are just going to the vessel .
357,"sex wax?  you are not into kinky shit, are you angelo?
",i do n't know .
358,"... four months.  june to october. mmmm...same the year before.
",you are not going to have a session .
359,"johnny, it's the only way.
",i am sorry .
360,"they are like some kind of tribe. got their own language.  you cannot just walk up to these guys.  you have got to get out there.  learn some moves.  get into their head.  pick up the speech.
",i can not .
361,"i think you gotta hit them straight on!
",i know .
362,"what, you couldn't have just left the thing in your car?
",i do n't know .
363,"angelo, pay attention.  there's gonna be a test afterward.  lab is showing traces of toxins.  pcbs. heavy elements... selenium, titanium and arsenic.
",follow go home .
364,"the beaches are always being closed because of waste spills, right?  and surfers are territorial.  they stick mostly to certain breaks.  if we can get some hair samples, and get a match to a certain beach, we would know which break the expresidents surf. you buyin' this?
",i am not .
365,"big zippo so far.  how about you?
",i do n't know .
366,"no, but there are four guys back there you might check out.
",i do n't know .
367,"look, if you are gonna go leavin' your piece and your shield in the car, you can damn well stay in sight.  okay?
",no .
368,"... felony b and e, three months in juvey.  better.  felony assault. postgraduate work at chino. excellent.  i am lovin' it.  what about the brother?  great!  another model citizen. these guys really fit the profile.
","okay , i will get a little smoother than than the way ."
369,"when did harp say they would have the warrant?
",i do n't know .
370,"did that worthless punk partner of mine ever show up?
",i do n't know .
371,"i am ready to rock, angelo.  where you want me?
",i do n't know .
372,"aw shit.
",what ?
373,"johnny!  uh, you, uh... should call first, you know?  hey, where the hell were you all day?  you gotta at least call in or something.  you okay?
",follow to the job .
374,"... so i started tailing him.
",i am sorry .
375,"they are on their way to maui.
",i am sorry .
376,"i say we call it in.  get some backup.  but you gotta do it.  harp will not listen to me.
",i do n't know .
377,"time for lunch.
",i am sorry .
378,"the hell are they?!
","i am sorry , i am not filming ."
379,"nothing?
",i am sorry .
380,"i know where they are going.
",i am not .
381,"angelo!  don't fire!
","i am sorry , i am sorry ."
382,"what do you want?
",i do n't know .
383,"what is it?  you all of a sudden got this bug you had to go surfing? this is a line, right?
","yes , but i am afraid ."
384,"i came out here from ohio a month ago.  never saw the ocean before.  i didn't think it would effect me so much.  like i am drawn to it, or something.  i want to do what you do.  it's the truth.
",i can not .
385,"stop here.  do you agree to do exactly what i say when i say it?
",i do n't know .
386,"nice place.
",you are not going to do that .
387,"who's the girl?
",i do n't know .
388,"bunch of goddamn adrenaline junkies. i hope you are not buying into this banzaibullshit like the rest of bodhi's moonies.
",i do n't know .
389,"what is goin' on?
",i do n't know .
390,"i can barely do this in broad daylight.
",i am sorry .
391,"you had enough?
",i am sorry .
392,"look at you.
",i am sorry .
393,"those are cold.
",i am not .
394,"i... i gotta go.
",i am not .
395,"ouch.
",what ?
